slug,name,facebook-url
rabharta,Rabharta,https://facebook.com/rabhartaparty
enraizarte,Encuentro Enraizarte,https://www.facebook.com/encuentroenraizarte/
reveillonquebec,Réveillon de Noël de l'abbé Gérard Tremblay,https://fb.me/reveillonquebec
kotlin-user-group-abakaliki,Kotlin User Group Abakaliki,https://www.facebook.com/profile.php?id=100089008405854
aqurusmc,AQur Us Craft,https://facebook.com/aqurus.mc
hartcliffe-club-for-young-peop,Hartcliffe Club For Young People,https://hartcliffeclubforyoungpeople/
moemyintmaung,Moe Myint Maung,https://www.facebook.com/profile.php?id=61557908456918&mibextid=ZbWKwL
jewishalmanac,JewishAlmanac,https://facebook.com/JewishAlmanac
york-migrant-solidarity,York Migrant Solidarity,https://www.facebook.com/groups/5494488877321661
all1-rehabilitation,ALL1-Rehabilitation,http://opencollective.com/All1-Rehabilitation
monbrit-club,MONBRIT CLUB,https://www.facebook.com/groups/326364211123497/
locopop-tech,locopop-tech,https://www.facebook.com/profile.php?id=100090611104137
azai,Azai,https://www.facebook.com/profile.php?id=100092849295218
elambmex,EL AMBIENTALISTA,https://facebook.com/elambmex
rocketcitymedics,Rocket City Medic Collective,https://facebook.com/rocketcitymedics
superbloom-fundoss,Superbloom FUNDOSS,https://www.facebook.com/superbloom.design/
community-football-exchange-ma,Community football exchange matches,https://100090623092594.com/
mars-tribe,Mars Tribe,https://facebook.com/mars-tribe
aq-org1,AQ ORG,https://www.facebook.com/aq.organization
the-refugee-network,The Refugee Network,https://www.facebook.com/groups/205728559213783
catmuseumnyc,The Cat Museum of New York City,https://www.facebook.com/catmuseumofnyc
aregak,Aregak,https://www.facebook.com/UnitedHelpUkraine.org/
trueselfem,TrueSelf East Midlands,https://www.facebook.com/profile.php?id=61559895283685
npsscr,Nuclear & Plasma Sciences Society Costa Rica,https://www.facebook.com/NPSSITCR
galette,Galette,https://www.facebook.com/galettesoft
lost-and-find,Lost and Find,https://www.facebook.com/LostitFindHere
aid4gaza,Aid4Gaza,https://www.facebook.com/majd.mashharawi
gaminator-system,Gaminator System,https://www.facebook.com/Gaminator.System
anserve,Anserve Inc.,https://www.facebook.com/Anserve
angolaosc,Angola Open Source Community,https://linktr.ee/angolaosc
scs,Sardegna Chiama Sardegna,https://www.facebook.com/people/Sardegna-chiama-Sardegna/100086134351431/
radical-in-progress,Radical in Progress,https://www.facebook.com/radicalinprogress
axm,Axm,https://www.facebook.com/profile.php?id=100076064242865
dstv-installations-brighton-be,DSTV Installations Brighton-Beach,https://www.facebook.com/dstvtechniciansa
united-residents-of-eb,United Residents of EB,https://www.facebook.com/UnitedResidentsofEB
take-back-your-data,Take Back Your Data,https://www.facebook.com/profile.php?id=61566543412744
agentivae,Agentivæ,https://www.facebook.com/profile.php?id=100089808225223
friends-of-withywood-park,Friends of Withywood Park,https://www.facebook.com/groups/366906591936355
tree-pp,Tree++,https://www.facebook.com/treepp.org
crisisresolutions,Crisis Resolutions,https://www.facebook.com/centerofcrisisresolutions/
kzalb16,kzal,https://facebook.com/
eegai,EEGAI,https://www.facebook.com/eegaisrilanka/
biohacking-co-mmunity,Biohacking Community,https://www.facebook.com/biohackingcommunity/
steckru,stecksachennachoben,https://m.me/cm/Abal7KUSY2qOJQla/
qtimutual-aid-for-uganda,Queer Trans* Intersex Mutual Aid for Uganda,https://www.facebook.com/qti.mutualaid.uganda
escarpin,Escarpin,https://facebook.com/61568080813180
lechodusudmadagascar,L'ÉCHO DU SUD,https://www.facebook.com/lechodusud
rjrx,RJRx.org,https://www.facebook.com/profile.php?id=100083080171645
hpn,Hart Park Neighborhood,https://www.facebook.com/HPNHartParkNeighborhood
htmly,HTMLy,https://www.facebook.com/gohtmly
playaucasinocom,PlayAUCasino.com,https://www.facebook.com/profile.php?id=100090037633020
shiner-law-group-stuart-person,Shiner Law Group - Stuart Personal Injury,https://www.facebook.com/shinerlawgroup/
ahn,AHN.sdf.org,https://facebook.com/AshevilleHomelessNetwork
step-to-egypt-2,Step to Egypt,https://www.facebook.com/steptoegypt/
clean_rivers,Clean Rivers,https://www.facebook.com/clean.rivers
hogwarts-mystery-script-auto-clicker,Hogwarts Mystery Script Auto Clicker,https://www.facebook.com/groups/2049128385357987/permalink/3377153605888785/
swcmr,SWCMR,https://m.facebook.com/SWCMR
lighthousedr,Lighthouse Projects,https://www.facebook.com/lighthousedr/
pueblos-originarios-indigenas,PUEBLOS ORIGINARIOS INDÍGENAS,https://pueblosoriginariosmexico/
jaafet,jaafet,https://www.facebook.com/profile.php?id=100078004076976
dronetest,test,https://www.facebook.com/groups/1441094752586284/posts/6427412513954458/?comment_id=6427808787248164&reply_comment_id=6427864867242556&notif_id=1676514194466256&notif_t=group_comment_mention
projectelric,Project Elric,https://www.facebook.com/projectelric/
la-digitalizadora-de-la-memori,La Digitalizadora de la Memoria Colectiva,https://www.facebook.com/espiguemos
originefood,Originefood,https://www.facebook.com/OriginePH/
termokiss,Termokiss,https://www.facebook.com/Termokiss
kevinmoore,Kevin Moore,https://www.facebook.com/KevinMooreOfficial/
cadizxr,CádizXR,https://www.facebook.com/xrcadiz/
fbcwma,Feminist Bird Club of Western MA,https://bit.ly/ACAB413
fantastic5s,Fantastic 5's,https://facebook.com/profile.php?id=61558608448807
cooperatives,Cooperatives,https://facebook.com/ujembe
msr-restoration,MSR Restoration,https://msrrestoration.com/
ccmx,Comité Cerezo México,https://www.facebook.com/ComiteCerezoDH/
save-the-west-seneca-town-pool,Save the West Seneca Town Pool,https://www.facebook.com/SaveWSTownPool/
el-jardincito-nature-play-gard,El Jardincito Nature Play Garden,https://www.facebook.com/JardincitoPlayGarden/
cwf,Community Wealth Foundation,https://www.facebook.com/comwf
goldwingautocare,Ottawa Wheel Hardware,https://www.facebook.com/goldwingautocare/
buildblkstl,Build BLK STL,https://www.facebook.com/
space-base,Space Base,https://www.facebook.com/SpaceBaseNZ/
healthyalternative,Etobicoke Best Prepared Meal,https://www.facebook.com/HealthyAlternativeTO/
catherine-mckay-realtor,"Catherine Mckay, Realtor ®",https://www.facebook.com/realtorcatherinemckay
morgyn-goodnight1,Morgyn Goodnight,https://morgyngoodnight66/
claires-womens-club-collective,Claires Womens Club,https://www.facebook.com/share/Ane96UWoe7f1ZRHM/
aicaw-ac-huichol-health-home,AICAW A.C. Huichol Health Home,https://www.facebook.com/CasaHuichol/?locale=es_LA
patrick-parker123,patrick parker,https://www.facebook.com/amperevehicles
babiimama03facebookcom,Homeschooling and childcare,https://www.facebook.com/BabiiMama03?mibextid=7cd5pb
hey-baby-enfield,Hey Baby 4D Enfield,https://www.facebook.com/heybaby4denfield
smitara,Smitara Foundation,https://facebook.com/smitara.foundation
rekobyn,R:ekobyn i Röstånga,https://facebook.com/rekobyn
a-timeless-love,A Timeless Love,https://www.facebook.com/Karenbrownatimelesslove/
greenleone,Green Leone,https://www.facebook.com/Greenleone?mibextid=ZbWKwL
aso-colonies-felines-eivissa,Asociació de Colonies Felines d’Eivissa,https://www.facebook.com/profile.php?id=61561357732425
meritschools,Merit School Learning Center at The Glen,https://www.facebook.com/themeritschool
community-opera-orfeo-i-umea,Opera för alla i Umeå - Kärleken triumferar!,https://www.facebook.com/umeabarockkor/
poiaresaclimatica,Poiares Ação Climática,https://www.facebook.com/poiaresaclimatica
many,Sujon,https://www.facebook.com/sujon.cooya
watersencam,Water Sensitive Cambridge CIC,https://www.facebook.com/watersencam
ase-dua-maryland-seo-firm,Asé Dua - Maryland SEO Firm,https://www.facebook.com/aseduaseo
kolektyw-bombelki,Kolektyw Bombelki,https://www.facebook.com/kolektyw.bombelki
shaolinmuseum,SHAOLIN Hip Hop Museum & Cultural Mall,https://www.facebook.com/ivhumanity
chronic-pain-coaching-cic,Chronic Pain Coaching CIC,https://www.facebook.com/profile.php?id=61550247069150
vaniumea,Vän i Umeå,https://www.facebook.com/vaniumeasida
ibs-support-aonz,IBS Support Aotearoa NZ,https://www.facebook.com/groups/ibssupportnz
amap-porto,AMAP Porto,https://www.facebook.com/amap.pt
residents4marlow,Residents for Marlow,https://www.facebook.com/profile.php?id=61561790951238
the-artship,The Artship Aotearoa,https://www.facebook.com/theartshipcrew
landllaw,L and L Law Group,https://www.facebook.com/l.and.l.law.group
nottmnourishmentnetwork,Nottingham Nourishment Network CIC,https://www.facebook.com/nottmnourishmentnetwork
dynatrisoft,DynatriSoft Games,https://www.facebook.com/dynatrisoft/
easyseo,EASYSEO,https://www.facebook.com/easyseo.pro
the-gumprecht-law-firm,The Gumprecht Law Firm,https://www.facebook.com/galawfirm
aid-era,aid-era,https://www.facebook.com/profile.php?id=100082866864352
new-era-collective,New Era Collective,https://www.facebook.com/profile.php?id=100091208104405
shiner-law-group-west-palm-bea,Shiner Law Group - West Palm Beach,https://www.facebook.com/shinerlawgroup/
exspace-expo,Exspace Expo,https://www.facebook.com/ExSpaceExpo
carehomeland,CareHomeLand,https://www.facebook.com/CareHomeLand/
oledo-espaco-aldeao,Oledo Espaco Aldeao,https://www.facebook.com/espacoaldeao
wanderlustwaypoints,What If Wanderlust,https://www.facebook.com/wanderlustwaypoints
greendotclimate,Green Dot Climate,https://www.facebook.com/greendot.climate
enroute,Enroute,https://www.facebook.com/EnrouteCIC/
eliasjemussecell,viciado em software,https://cheizy/
edataindia,eDataIndia,https://www.facebook.com/edataindia
extinction-rebellion-hungary,Extinction Rebellion Hungary,https://www.facebook.com/xrhungary
sketchup-academie,SketchUp Académie,https://www.facebook.com/SketchUpAcademie/
hartcliffe-coderz,Hartcliffe Coderz,https://www.facebook.com/groups/2550079321816890
martin-plumbing-and-well-pump,Martin Plumbing and Well Pump Service,https://facebook.com/MartinPlumbingCT
nento,Nento,https://www.facebook.com/NentoCorp
black-nationalists-of-new-afri,Black Nationalists of New Afrika,https://www.facebook.com/profile.php?id=100095307276925
sevenzeromeow,sevenzeromeow,https://www.facebook.com/profile.php?id=61551830188387
awkits-digital,Awkits Digital Agency,https://www.facebook.com/awkits.ss/
reactive-graph,Reactive Graph,https://www.facebook.com/reactive.graph/
meroui-react,Meroui React,https://www.facebook.com/batchnepal
beitakae,Beitak,https://www.facebook.com/beitakproperties
vivre-au-canadatv,Vivre Au Canada.tv,https://facebook.com/vivreaucanada
ztfg_offiziell,ZTFG,https://www.facebook.com/ztfgo
advanced-surface,Advanced Surface Technologies,https://www.facebook.com/Advanced-Surface-Technologies-158394330861166/
sdr,Shut Down Rafael Ncl,https://www.facebook.com/profile.php?id=61552058410565
rise-in-love-foundation,Rise in Love Foundation,https://www.facebook.com/RiseInLoveFoundation/
rcd_miami,Reconcíliate con DIOS Miami,https://www.facebook.com/reconciliateconDiosusa
youre-not-alone-marbles,You're Not Alone/ Marbles Lost And Found,https://www.facebook.com/groups/yourenotaloneplymouth
boston-wordpress,Boston WordPress,https://www.facebook.com/bostonwp
kansas-missouri-fair-shares-co,Kansas Missouri Fair Shares Commons,https://www.facebook.com/groups/138600610900573
dovietdung93,Đỗ Việt Dũng,https://www.facebook.com/profile.php?id=100095706034061
group-party,Group party,https://www.facebook.com/public/Mike-Donnelly
chilliams-music,Chilliams music,https://facebook.com/numbchuck
fronttech,Front Tech collective,https://web.facebook.com/Fronttechti
ape-roosevelt,"APE Franklin Roosevelt, Marseille",https://www.facebook.com/ape.tivoli.roosevelt/
hammondcommunitygarden,Hammond Community Garden,https://facebook.com/hammondcommunitygarden
international-digital-equity-alliance-idea,International Digital Equity Alliance (IDEA),https://www.facebook.com/unconnected.org
flybywire,FlyByWire Simulations,https://facebook.com/FlyByWireSimulations
swma_nyc,Sunnyside & Woodside Mutual Aid,https://www.facebook.com/groups/swma.nyc/
scientist-rebellion,Scientist Rebellion,https://www.facebook.com/ScientistRebellion/
lairdubois-opencutlist-sketchup-extension,OpenCutList,https://www.facebook.com/opencutlist
handsoffuhuru,Hands Off Uhuru! Hands Off Africa! Defense Campaign,https://facebook.com/handsoffuhuru
companion,Bitfocus Companion,https://www.facebook.com/groups/2047850215433318
arthurs-hill-solidarity-fund,Arthur's Hill Solidarity Fund,https://www.facebook.com/ArthursHillMutualAid/
deep-adaptation-forum,Deep Adaptation Forum,https://www.facebook.com/groups/deepadaptation
theodinproject,The Odin Project,https://www.facebook.com/theodinproject
rumah,Raleigh United Mutual Aid Hub (RUMAH),https://www.facebook.com/raleighunitedmutualaidhub/
rva-community-fridges,RVA Community Fridges,https://www.facebook.com/rvacommunityfridges/
meshtastic,Meshtastic,http://facebook.com/themeshtastic/
hope-fridge,Hope Fridge,https://www.facebook.com/hopefridgefv
germantown-community-fridge,Germantown Community Fridges,https://www.facebook.com/germantowncommunityfridge
ancientbeast,Ancient Beast 🐺,https://facebook.com/AncientBeast
omstallningsvanner,Omställningsnätverkets vänner,https://www.facebook.com/omstallning.net
red-hook-bk-mutual-aid,Red Hook Mutual Aid,https://www.facebook.com/redhookbklynmutualaid/
scientifiques-en-rebellion,Scientifiques en rébellion,https://www.facebook.com/ScientifiquesEnRebellion
the-emergence-network,ten (The Emergence Network),https://www.facebook.com/theemergencenetwork/
gltc,Great Lakes Taiko Center (GLTC),https://facebook.com/greatlakestaiko
cncnet,CnCNet,https://www.facebook.com/CnCNet/
the-supply-hive,The Supply Hive,https://www.facebook.com/thesupplyhive/
sucho,Saving Ukrainian Cultural Heritage Online,https://www.facebook.com/sucho.initiative
rvafnb,"Richmond, VA Food Not Bombs",https://www.facebook.com/RichmondFoodNotBombs
thexylom,The Xylom,https://www.facebook.com/thexylom/
climaximopt,Climáximo,https://www.facebook.com/climaximopt/
xranimal,XRAnimal,https://https/facebook.com/xranimal
culture-ric,Culture-RIC,https://www.facebook.com/Culture.RIC
the-peoples-fridge,The People's Fridge,https://facebook.com/thepeoplesfridge215
ovenmediaengine,OvenMediaEngine & OvenPlayer,https://www.facebook.com/airensoft
organicmaps,Organic Maps,https://www.facebook.com/OrganicMaps
codenplay,CodeNPlay,https://www.facebook.com/CodeNPlayBE/
monnaie-libre,Astroport,https://www.facebook.com/G1Fablab/
cprcle,Cleveland Pandemic Response,https://www.facebook.com/cprCLE/
united-diversity-bridport,United Diversity Bridport,https://www.facebook.com/uniteddiversity
naarpr,National Alliance Against Racist & Political Repression,https://fb.me/NAARPR
kefc,Kingston Emergency Food Collaborative,https://www.facebook.com/KingstonEmergencyFood/
fff_muc,Fridays for Future München,https://www.facebook.com/fridaysforfuturemuenchen/
brooklyn-transcore,Brooklyn Transcore,https://www.facebook.com/BrooklynTranscore
weberfridge,Weber Fridge,https://www.facebook.com/weberfridge/
downhamsolidarity,Downham Solidarity Fund,https://www.facebook.com/downhamsolidarity
memphis4rs,Memphis 4 Revolutionary Socialism,https://www.facebook.com/Memphis-4-Revolutionary-Socialism-M4RS-112268468140240
xr-kings-lynn-and-west-norfolk,XR King's Lynn & West Norfolk,https://www.facebook.com/xrkingslynn
endora,Endora,https://www.facebook.com/endoradata
lancaster-and-morecambe-makers,Lancaster and Morecambe Makers,https://facebook.com/lamm.uk
omstallning,Omställningsnätverket,https://www.facebook.com/omstallning.net
theblackhouse,The Blackhouse,https://www.facebook.com/TheBlackHouse106.1FM
sun-seeker-mke,Sun-Seeker MKE,https://www.facebook.com/sunseekermke?mibextid=LQQJ4d
technovationmx,Technovation Girls México,https://www.facebook.com/TechnovationGirlsMexico
aashnaplus,Aashna+,https://www.facebook.com/aashna.uk
klima-camp-south-tyrol,Klima-Camp South Tyrol,https://fb.me/e/16WIVSKtL
pasquines,Pasquines,https://facebook.com/pasquines
evelynssafehouse,Fund Evelyn's Safehouse,https://www.facebook.com/marimarifilm/
doe-deurne-dicht,Doe Deurne Dicht,https://www.facebook.com/people/Doe-Deurne-Dicht/100091590662099/
xrnantes,Extinction Rebellion Nantes,https://facebook.com/xrNantes
san-antonio-review,San Antonio Review,https://www.facebook.com/sanantonioreview/
solrmutualaid,Students Organizing for Labor Rights: Mutual Aid,https://www.facebook.com/solrnu/
asociacion-para-la-investigacion-capacitacion-y-asistencia-wixarica,"Asociación para la investigación, capacitación y asistencia Wixarica",https://www.facebook.com/CasaHuichol
animal_rebellion_germany,Animal Rebellion Deutschland,https://www.facebook.com/animalrebellionDE
hala,halaو,https://www.facebook.com/hala.aotearoa/
thefridgegb,The Fridge,https://facebook.com/thefridge.gb
tabbycat,Tabbycat Debate,https://www.facebook.com/TabbycatDebate
claudia-jones-school,The Claudia Jones School for Political Education,https://www.facebook.com/people/Claudia-Jones-School-for-Political-Education/100063481416467/
policyengine,PolicyEngine,https://facebook.com/policyengine
phillytru,Philly Transit Riders Union,https://facebook.com/PhillyTransitRiders
todoparatodos,Todo Para Todos,https://www.facebook.com/TodoParaTodos35/
landcorps,LandCorps,https://www.facebook.com/ParableofSowerCoop
azulejopublicitario,Azulejo Publicitário Português,https://facebook.com/azulejopublicitario
che,Centre for Human Ecology,https://www.facebook.com/CentreforHumanEcology/
able2uk,Able2UK,https://www.facebook.com/able2ukpage
punkshangaren,Punkshangaren,https://www.facebook.com/profile.php?id=100066988441998
golang-guadalajara,Golang Guadalajara,https://www.facebook.com/golang.guadalajara
insubordination-station,Insubordination Station Harm Reduction,https://facebook.com/insubordinationstation
les-pizzas-du-coeur,Les Pizzas du Coeur,https://www.facebook.com/profile.php?id=100090237614260
lead-awareness-nz,Lead Aware NZ,https://www.facebook.com/leadawarenessnz
columbiana-county-pride,Columbiana County Pride,https://www.facebook.com/columbianacountypride
yoga-para-la-gente,Yoga Para La Gente,https://facebook.com/yogaparalagente.com
scowestxcleague,Scotland West XC League,https://www.facebook.com/scowestxcleague/
cosmoscoop,Cosmos Co-op,https://www.facebook.com/cosmos.coop/
digital-equity-coalition-aotea,Digital Equity Coalition Aotearoa,https://www.facebook.com/digitalequityaotearoa/
fromehall-mill-cbs-share-offer,Fromehall Mill CBS Share Offer Nov2023,https://www.facebook.com/fromehallmill
rannamedia,Ranna Media,https://facebook.com/rannamedia
multitheftauto,Multi Theft Auto,https://www.facebook.com/multitheftauto
chicago-action-medical,Chicago Action Medical,https://www.facebook.com/chistreetmedics
notioneers,Notioneers.io - all about notes & stuff,https://www.facebook.com/notioneers/
innertransitioncircle,Inner Transition Circle,https://www.facebook.com/InnerTransitionCircle
7pidgeys,7 Pidgeys,https://facebook.com/7pidgeys
mhcnorcal,Mount Holyoke Club of Northern California,https://www.facebook.com/NorCalMountHolyoke/
workers-defense-alliance,Workers Defense Alliance,https://www.facebook.com/TC.WorkersDefense
umeaungafolkmusiker,Umeå Unga Folkmusiker,https://www.facebook.com/profile.php?id=100063760232064
waltham-forest-for-a-free-pale,Waltham Forest for a Free Palestine (WF4FP),https://www.facebook.com/people/Waltham-Forest-for-Palestine/61555688106679/
action-against-woven-oaks,Action Against Woven Oaks,https://www.facebook.com/profile.php?id=100077437787579
asena-protectora,Asena Protectora Antiespecista,https://www.facebook.com/ProtectoraAsena
transadvocacymadison,Trans Advocacy Madison,https://facebook.com/transadvocacymadison
m4a-everywhere,Medicare for All EVERYWHERE,https://www.facebook.com/M4AEverywhere
anna-may-wong-fans,Anna May Wong Fans,https://www.facebook.com/thegalleryofannamaywong
roden,roden,https://www.facebook.com/rodenBikes
york-disability-rights-forum,York Disability Rights Forum,https://www.facebook.com/YorkDRF/
